COUNTY CPF DEM GRE Howard LPF Nixon Patel Pope PSL REF REP Tolbert Wells
COUNTY CPF DEM GRE Howard LPF Nixon Patel Pope PSL REF REP Tolbert Wells
Alachua 52 89704 302 0 1390 3 16 0 94 70 50972 0 1
Baker 1 2037 10 0 93 0 0 0 3 4 11911 0 0
Bay 52 25614 142 0 1004 5 11 0 45 54 66097 0 0
Bradford 6 3160 11 0 110 0 1 0 3 7 10334 0 0
Brevard 171 148549 553 0 3178 8 36 0 164 222 207883 0 0
Broward 238 618752 1253 0 3114 25 37 1 417 426 333409 0 0
Calhoun 2 1209 4 0 29 0 0 0 4 4 5274 0 0
Charlotte 45 42273 129 0 565 0 4 0 32 49 73243 0 0
Citrus 49 27092 86 0 548 1 8 0 30 42 65352 0 0
Clay 57 38317 153 0 1286 0 12 0 55 45 84480 0 0
Collier 39 77621 186 0 889 1 18 0 50 64 128950 0 0
Columbia 8 8914 28 0 224 0 0 0 20 12 23836 0 0
Desoto 4 4259 8 0 52 0 0 0 11 12 8313 0 0
Dixie 4 1365 5 0 27 0 0 0 2 5 6759 0 0
Duval 218 252556 772 1 4788 11 65 0 328 319 233762 0 0
Escambia 92 70929 256 1 2146 7 25 0 137 105 96674 0 0
Flagler 20 28161 69 0 359 0 3 0 29 30 43043 0 2
Franklin 3 2120 12 0 27 0 0 0 8 4 4675 0 0
Gadsden 9 16153 21 0 96 0 0 0 10 8 7465 0 0
Gilchrist 5 1700 13 0 61 0 3 0 2 6 7895 0 0
Glades 0 1385 4 0 21 0 0 0 1 0 3782 0 0
Gulf 6 1985 5 0 48 0 0 0 0 6 6113 0 0
Hamilton 2 1963 8 0 33 1 0 0 2 6 3815 0 0
Hardee 1 2298 8 0 40 0 0 0 6 10 6122 0 0
Hendry 7 4929 13 0 65 0 1 0 8 11 7906 0 0
Hernando 40 37519 151 0 686 1 7 0 44 62 70412 0 0
Highlands 28 16938 53 0 223 1 2 0 24 28 34873 0 0
Hillsborough 270 376367 1187 0 5665 12 61 0 529 574 327398 0 0
Holmes 4 924 9 0 48 0 0 0 1 2 8080 0 0
"Indian River" 38 37844 117 0 534 2 1 0 33 43 58872 0 0
Jackson 5 6766 13 0 116 1 4 0 13 13 15488 0 0
Jefferson 5 3897 13 0 46 0 3 0 4 4 4479 0 0
Lafayette 2 510 2 0 14 0 0 0 1 1 3128 0 0
Lake 79 83505 254 2 1385 1 13 0 96 120 125859 0 0
Lee 121 157695 440 0 2016 2 15 0 176 187 233247 0 0
Leon 71 103517 271 0 1344 9 43 0 122 98 57453 0 1
Levy 13 6205 25 0 131 0 1 0 7 14 16749 0 0
Liberty 1 694 2 0 14 0 0 0 2 2 2846 0 0
Madison 5 3747 13 0 32 0 0 0 4 3 5576 0 0
Manatee 69 90166 258 0 1287 7 10 0 78 96 124987 0 0
Marion 80 74858 228 0 1180 3 12 0 98 91 127826 0 0
Martin 37 36893 105 0 448 0 1 0 35 38 61168 0 1
Miami-Dade 293 617864 1289 0 3329 7 18 0 579 602 532833 0 2
Monroe 12 21881 51 0 348 0 4 0 14 26 25693 0 0
Nassau 24 15564 43 0 569 1 4 0 12 28 42566 0 0
Okaloosa 79 34248 183 0 1881 4 31 0 73 76 79798 0 0
Okeechobee 8 4390 7 0 66 0 0 0 4 8 11470 1 0
Orange 223 395014 1146 1 4685 13 92 0 444 386 245398 1 0
Osceola 70 97297 290 0 964 6 23 0 140 166 73480 0 0
"Palm Beach" 188 433572 891 1 3040 14 50 0 335 356 334711 0 0
Pasco 142 119073 467 0 2265 4 29 0 169 200 179621 0 0
Pinellas 199 277450 912 0 4268 12 49 0 311 305 276209 0 0
Polk 140 145049 425 0 2595 3 37 0 217 204 194586 0 0
Putnam 20 10527 50 0 226 1 0 0 21 14 25514 0 0
"Santa Rosa" 55 27612 122 0 1645 0 3 0 46 60 77385 0 0
Sarasota 70 120110 284 1 1507 2 23 0 105 102 148370 0 1
Seminole 103 132528 406 2 2215 6 42 0 137 135 125241 0 0
"St. Johns" 44 63850 210 0 1413 0 4 0 54 101 110946 0 0
"St. Lucie" 61 84137 209 0 768 0 10 0 82 71 86831 0 0
Sumter 29 29341 39 0 269 1 0 0 20 25 62761 0 0
Suwannee 6 4485 23 0 119 0 0 0 8 6 16410 0 0
Taylor 3 2299 11 0 52 0 2 0 6 3 7751 0 0
Union 5 1053 5 0 42 0 0 0 3 4 5133 0 0
Volusia 141 130575 390 0 2156 4 19 0 173 160 173821 0 0
Wakulla 10 5351 18 0 135 0 0 0 6 10 12874 0 0
Walton 13 10338 43 0 336 2 1 0 15 16 32947 0 0
Washington 5 2347 15 0 69 0 0 0 10 5 9876 0 0
