COUNTY DEM ALL GRN LIB REP Others
COUNTY BIDEN "De La Fuente" Hawkins Jorgensen TRUMP Others
AND 27617 108 603 1105 29268 6
ARO 13956 52 233 421 21080 4
CUM 128759 287 2154 2957 59584 24
FRA 8069 31 183 353 8754 0
HAN 19369 41 380 549 14982 4
KEN 34902 91 730 1406 34721 8
KNO 15110 34 248 355 9982 5
LIN 12684 35 199 420 10256 0
OXF 14755 41 347 650 17698 1
PEN 37713 125 746 1854 44825 6
PIS 3517 12 60 173 6143 3
SAG 13528 31 249 473 9755 2
SOM 10199 32 230 466 16644 7
WAL 12345 31 347 402 11196 1
WAS 6761 22 143 232 10194 5
YOR 71189 200 1259 2189 54817 5
UOCACA 4599 10 119 147 838 6
